repo,sha,tests,time,sloc,covs,covb,shas,age,star,thread,constraints,races
davidmoten/rxjava-jdbc,7dd50e73c77da1289024253517c8dc395fbdb44d,457,8.2,8671,64.34,55.30,1052,12.4,803,33,246,1
jasminb/jsonapi-converter,67783ad7d137740bd614083ae691e1d133bc2c60,119,3.8,4386,89.33,83.33,200,10.4,278,18,9,0
VaughnVernon/mockroservices-java,137ab500d76653cc83ff13db1fcf7e2090d5c6ac,30,5.6,1950,67.78,50.46,41,8.8,32,13,29,8
blackdoor/blackdoor,42d1847ef7c9db22736e493ae661b5fe4c6d9a71,17,3.2,4550,26.33,25.63,207,13.2,2,4,11,4
phylogeography/spread,33ffcc7e4bfa4284bbd7f923e3cad652bdaafd96,5,10.1,7035,44.73,34.57,253,6.1,20,6,2,2
phylogeography/SPREAD,33ffcc7e4bfa4284bbd7f923e3cad652bdaafd96,5,10.3,7035,44.60,34.28,253,6.1,20,6,2,2
gwtplus/google-gin,f3074aa4eef1d71ba5c92c0911401583b0112d41,211,6.5,17791,39.70,42.28,281,17.8,15,8,22,0
Graylog2/gelfclient,17e8663d3dce08c2f38d10e83a215a94dfe65fdb,70,7.6,1878,78.87,58.87,253,12.1,41,31,26,2
webjars/webjars-locator,62ab96c7e1a9bc4140f89a6259262817651978ad,11,7.7,539,85.44,75.49,499,13.6,2,1177,23,0
draeger-lab/EscherConverter,9324420fd6fb8f11afafed33a62742b1f16d0012,34,16.0,7105,17.37,12.17,528,10.3,16,13,47,0
mdewilde/podcast-parser,d6e05de78ac2d3f0a7669a4d6e724f2d4575bc13,10,7.1,7491,28.56,13.36,86,9.2,11,5,7404,2
purecloudlabs/elasticsearch-lambda,071dc5562eb609d1edc6453de5e76b674bff2e6d,12,6.0,1969,19.58,14.78,126,11.5,31,26,60,0
magdel/MapNav,97c4f93f02a56aa1ce2b2ffc8d0cd41ed150e9b3,11,4.8,32849,4.71,3.02,47,7.8,23,3,2,2
imadcn/idworker,b5045d74c48b49a2764efdc58b36b33d6ad63d2f,34,8.0,1971,78.05,60.00,178,8.7,271,96,3620,0
hazelcast/hazelcast-azure,ad2e380c0638dd122554a28f2f3a24894d4b9502,48,18.4,2017,87.93,72.15,228,10.4,16,212,38,0
MagicTheGathering/mtg-sdk-java,5663cd4dcf7a3dd5620f0a17433e1cf6491abee6,20,24.4,933,39.23,52.86,129,9.9,75,405,28,0
fordfrog/apgdiff,71920d4ed32c49f42e5891e5409c9f4a0cb3ddfe,402,4.6,9155,73.76,65.61,401,20.3,380,404,1,1
named-data/jndn,8aa52ec75b152495466f8f217dae193f1bd3919b,124,5.8,68773,30.56,29.67,2311,12.7,44,11,12,7
jiangxincode/SearchEngine,2af8a8f33bab5546e1f296bb89872b3333eb23b1,2,2.3,783,20.70,11.59,113,12.0,33,6,2,2
Terracotta-OSS/ipc-eventbus,26953781df64084460a762e0c1aeb831d42575b8,51,24.6,2790,69.43,60.55,66,10.7,30,130,25,9
gturri/aXMLRPC,a6cfe2978d3adeb3ba734476c4b7d320c458b106,52,4.7,1774,52.93,41.41,289,14.7,148,65,94,1
jitsi/otr4j,4f9feb94a8e684da6c9ee01be6e2b0f6a4d3c926,69,5.2,6795,50.13,31.32,369,17.1,35,12,86,3
vidstige/jadb,9083b5096f96092c3c8e37bf89ba025342e9fba1,43,4.6,2628,72.31,43.33,333,12.9,670,20,25,6
rpuch/xremoting,6daad30ee08e9afb0d7d22d441b7443c4ee3ed98,54,6.1,3029,61.66,47.77,96,16.1,1,42,288,16
binance/binance-futures-connector-java,bb4df8e31afc5009d3cd8bee4b7440e2e2a3be99,299,7.1,10889,59.53,53.60,15,3.6,186,456,537,9
OrderLab/OKLib,bad08e093e0bcc874409cfb9138c32730e599653,21,3.7,6268,37.08,35.76,39,4.2,28,14,20674,4
zhanyeye/DesSim,104b7213910140c53b53123f62012c772c0ee08b,12,5.3,3097,62.44,50.91,238,5.6,24,6,35,28
sndyuk/logback-more-appenders,de07adbc1942d95381d7be0421863e6707125dde,19,8.7,2310,57.73,44.28,165,14.0,125,13,26,7
jillesvangurp/spring-depend,d7e5cc3c91d4f0dd5de5b76d7ac170eb13609c17,3,5.3,552,90.14,84.29,34,9.4,46,5,10,10
ChannelApe/shopify-sdk,d73fa68de1580b128c0932d2e873d92b556801f3,162,15.5,14005,80.42,59.84,287,7.6,174,609,191,0
pf4j/pf4j-update,2f6251b468b0d570ba26aa46bc66ef08838ca882,20,3.6,1400,74.93,64.12,95,12.0,74,20,214,4
zeroturnaround/zt-process-killer,f528d9e5f5795554b871bd7bde0996cec09289d9,61,63.3,1499,40.59,31.03,152,11.2,137,105,16,0
monkeymq/jgossip,3aebd0c124402889016419d6904d829906ad0e3a,7,4.1,1734,31.74,7.14,179,8.9,101,5,2,2
yangfuhai/jboot,ef80a69752e34b92308000209d4d272d25f8309f,4,10.4,47891,12.65,9.10,4234,9.1,739,8,235,0
treasure-data/td-logger-java,9f4eb8fc1cc4ec85fbc34c2311d582aca0a0a9e7,7,4.9,1172,36.31,28.95,266,14.6,12,9,92,2
javadev/jasper-xml-to-pdf-generator,c3e41c081c5aa7d706b251ec95ed1051db75f20d,40,7.1,1724,94.74,89.12,112,13.4,16,14,1,1
javadelight/delight-fileupload,c1bf8dc528b841576b7c1b651d16f374928ea816,1,3.1,420,28.33,40.00,60,10.3,11,2,1,1
kurbatov/firmata4j,798ebcc123ae770922006b7778621300cd93d50b,6,4.5,4018,10.20,4.18,129,11.8,99,8,3,0
actiontech/dble,3bec9399d5eb5356fa8fbdec34d66d772c75f11e,282,38.6,208308,7.03,8.07,6942,9.6,1118,8,240,2
undera/perfmon-agent,e6e73892b81b79a92628c7d2b7144c3918bcb152,131,8.3,4876,64.73,52.06,56,13.4,417,6,1,1
soot-oss/heros,091e3bd5850521150462e9a823293e29a73cc8bb,140,4.2,8252,59.05,42.07,489,13.6,256,21,31,0
nithril/smtp-connection-pool,afec1e2326dbe9930dad9a1d497dac99b721cf28,8,3.8,918,42.24,28.79,43,11.2,48,75,106,3
ronmamo/reflections,f5514b125c4f4b58e92beb0979a40ddce48d5be1,68,5.7,4596,71.82,61.37,229,13.2,4763,7,8,0
Sable/heros,091e3bd5850521150462e9a823293e29a73cc8bb,140,4.2,8252,58.98,41.99,489,13.6,256,21,14,0
vbauer/herald,e4af14ae42bda363d01db2b19a51eeee1df94c9d,29,6.4,1266,98.62,97.50,172,11.3,80,9,49,2
m-czernek/acrobot,fded93dc791ed5662870b8b6bffefee46fd60d73,13,7.0,1048,62.66,58.24,84,7.1,32,49,215,14
dubasdey/portable-ftp-server,0f366e45e0a49a1bc03104a68fcc6fc7b46dd906,10,2.6,693,19.76,20.00,67,10.4,49,2,2,0
avarabyeu/restendpoint,7fe23054f2e20da07692dee3d050cbc79ae6f395,77,36.1,2898,73.39,69.89,220,12.2,8,145,282,0
uia4j/uia-sim,ebb19ed50b0e676c63909d7f53893539e9df9c81,71,4.2,3445,83.46,70.87,70,5.5,26,189,83,7
googleads/adwords-scripts-linkchecker,9dc7949dd09321f00e8a60a171581fe848cd3485,47,21.2,2123,77.87,77.78,14,9.0,12,66,159,1
softlayer/softlayer-java,6185d58b1d7c34146a66922c0bbe440df8ca6941,56,10.1,166861,0.81,7.45,137,11.8,24,5,2,2
alb-i986/selenium-tinafw,6dfcbc46acb534c32980d8c1eef51983bfab9085,38,5.7,2144,20.24,21.21,304,11.8,6,5,2,2
Ardesco/driver-binary-downloader-maven-plugin,262d793db60cdc1b2a3ea064d0d9aee264fa2147,89,12.2,2633,61.01,47.01,377,14.2,94,13,276,4
NovatecConsulting/BeanTest,b52aa34dbaf320d27fa42d7ff26c70f649424cf2,18,8.0,819,93.42,76.39,38,12.5,25,213,627,22
tomekl007/manning_software_mistakes_and_tradeoffs,b7a5094fb873e4b8e5931c938467d3c0b18eb2be,91,65.8,9650,59.47,42.22,130,5.7,40,15,9,0
jhalterman/lyra,3282627d83e2a939d7f540ce0249728cce08eea4,0,2.6,3879,0,0,252,12.7,265,37,3,3
zman2013/scuttlebutt,ffe18643da514ca342fa890c853dafff4113c649,16,3.7,1101,95.86,80.00,33,6.6,14,3,47,17
opentracing-contrib/java-grpc,cee8e27cc9ac0dd93e6f44979389fd2ecf7e3232,41,13.6,3691,97.72,86.44,104,8.5,58,2,156,0
triologygmbh/reCAPTCHA-V2-java,971aec0e2eb4aa5b58ff6a8c568ba9e13251bcc3,10,4.0,384,98.33,100.00,36,9.0,16,44,6,0
520github/fw-parallel-task,b72d84511d43725eaa003240e827b1092c7c65b8,2,33.3,871,70.48,73.08,8,3.3,12,9,19,3
amzn/amazon-instant-access-sdk-java,112e6928b2b51cf18e1e9ff31de7117943809cdf,95,4.1,4206,47.95,15.85,30,11.1,10,10,207,4
alexnederlof/Jasper-report-maven-plugin,a10d07b217c28da38b6399a8282a5a2cd33109c4,10,8.5,536,65.87,62.07,146,14.8,139,19,138,2
520github/fw-perf-test,6869c70db402a517a1754cf1bac1b0413232c8a5,2,2.8,763,92.23,90.62,2,3.3,12,12,100,0
twilio/authy-java,cc0d7d088d6f6efcc604dbb1e2c93fd66b7f213e,48,5.2,2701,77.82,63.82,132,13.4,72,423,107,0
javacamp2022/pizza-lab,32060070f0d756547a7b873e72b4095a1fd4cbfe,6,7.9,759,19.40,1.89,21,4.1,10,12,4,3
RuntimeTools/javametrics,f7e1a5ef3fdecb08d1c0fd7c93d00e864c8f9ad8,26,43.6,4214,64.06,51.20,192,9.0,24,3,27,16
jlinn/quartz-redis-jobstore,894b448f19907db7040f39bb1afef528272bfd99,71,27.0,5074,57.23,49.58,137,11.9,140,117,854,0
chyxion/table-to-xls,121c72cfe7b7167897c6f801fbb2352ee0d3ece4,1,4.9,944,87.57,73.98,29,11.7,20,3,3270,0
imagej/example-script-collection,ed5f259b26e9a57cabc7a34e3d28c4e05c9081e5,1,8.3,40,0,0,20,8.7,10,6,11,3
apache/dubbo-rpc-jsonrpc,51f0667f2b3b6fd07396ed25c264f3642bc5d1be,3,3.5,283,34.96,16.67,51,11.2,192,201,24,1
offbynull/portmapper,585598dd8c57dad5ca7aeaf58fd574fdb78a0c38,222,7.5,14378,43.77,34.99,249,12.0,97,5,32,0
SonarSource/sonar-auth-bitbucket,f7e606c85a8a9f2cd9c8deeab3547da0822d3a9c,37,4.3,1000,97.99,87.18,96,10.4,23,14,7,0
jghoman/haivvreo,74c205c9a8349d72919ac01eb8eb67538b98fd2f,56,6.8,2480,71.70,56.87,80,15.0,60,53,38,3
spotify/trickle,d02fafb5d65e7f70f7708edf2c2e39731e921922,63,3.1,2538,98.25,97.67,150,12.8,286,6,81,0
taksan/skype-java-api,e7007433f851c1d233b7f7b53abfc031cc271ecd,43,19.0,8264,16.75,10.69,173,15.3,128,81,80,0
brutusin/commons,b483f5bc59610b25794dd8112425c0ce910c886e,7,12.1,1403,18.57,8.56,149,11.4,0,11,9,1
microsoft/Git-Credential-Manager-for-Mac-and-Linux,ba7264c4baee703c94017a2b3bc2fcb7327e033e,64,22.1,4991,36.03,25.80,714,10.8,454,62,56,8
PhantomThief/thrift-pool-client,e88853a79c08b140cd1c7251fd0e0cffebb31582,1,3.7,1381,36.84,30.56,32,11.6,45,11,93,5
tguzik/m2u,32d6ce00796d6d7732ebc1c50bf6828f458397fb,8,5.1,1953,43.20,13.17,33,13.9,15,6,299,114
opencharles/charles-rest,15520b4aeb1ae5c14dc3c2ebc7ee5cdc8b43050a,142,22.3,6180,73.07,63.64,568,10.1,25,59,8,4
spotify/async-datastore-client,79e2c00f56c370fac846f9ce318e2fa1c254c4dc,15,4.0,3297,36.83,46.15,83,11.0,73,3,8,1
kristofa/mock-http-server,902eae05aee88a2b62897e0fff99b7a89840e9de,160,3.6,4635,87.13,87.50,226,14.8,81,102,87,0
zhangyingwei/cockroach,5298ca2aaadff3740c0730c72da5d95db63046eb,15,8.8,3008,0.00,0.00,238,8.9,123,8,54,0
rovats/java-utils,071ed224cda2832958591deda3d1874894e3facd,5,2.2,114,96.43,100.00,23,9.9,12,8,7,1
seaswalker/netty-wheel,6b8b4a2005bd89718d8f20799cde3c85d5bf28fb,5,20.5,1330,74.77,54.17,31,9.8,22,21,65,0
ctapweb/AutoSubClause,b2e586fbb20122b132d9af995bb6ad2bd92f7582,4,7.3,1586,39.50,35.05,17,7.4,11,6,62,1
majusko/grpc-jwt-spring-boot-starter,6183fdcca622c89605cd4f5630cd1257a6894320,18,10.5,1805,100.00,93.75,144,6.6,42,7,1,1
InfoSec812/sonar-auth-google,c55efe067088a8ee29fa771f3b3f7ae83d4444cd,31,3.4,999,92.65,80.00,136,10.4,28,11,2,0
pebbleblog/pebble,040bf740858a3a34b99b5d2fae7cfb62cd6cc2b0,775,18.1,36759,48.58,44.12,751,17.0,70,7,3,0
dyorgio/cpu-watcher,1eb55e4f8497c1d8cf199f3d39abb0c71a56664e,3,135.2,573,59.43,46.97,116,7.9,16,8,8,2
nats-io/nats-connector-framework,e3b95e595d61203d0c5a1e4e2bf05c53372dfda6,7,6.9,1139,68.66,67.86,81,10.5,35,53,67,27
MountCloud/ffmpeg-operate,5eaff4ea0e9656500efe70905aff0b3fec6c8815,2,4.4,1566,47.82,31.47,16,7.6,16,7,6,3
elisarver/selophane,989eba4b025ead32b56c6b6f424b6f39830d68e1,0,4.5,1001,62.50,49.15,82,13.5,33,3,14,3
pascalgn/jiracli,ebeeaeeb4f44abc6e8e25dac3a81b7623f4d5099,81,6.3,13460,34.30,29.09,102,10.5,11,14,1,1
ohioit/rundeck-http-plugin,60d0e838b86767dc1eb27408053354d71bc014a0,26,12.4,861,88.72,76.25,49,10.7,21,307,21,0
hackingwu/Java-Promise,8f198c917761cb58267d04f36e7038ac68caab6f,4,6.2,436,59.49,42.86,26,10.3,17,2,84,1
coolstuffsoftware/owncloud-spring-boot-starter,2a7f3f2403e6f06caf60aac4bc0a8c091716e070,229,94.5,16479,81.52,34.25,374,9.6,5,5,24,0
JavaMoney/jsr354-ri-bp,d1b6a633e72e40f5167a05a33bfcc7888bed8ab5,500,93.7,15451,66.10,53.31,237,11.3,9,14,140,3
j-easy/easy-flows,768e839ec9ba67f436093f3b3f454b9b56e97dee,17,3.5,1003,89.02,70.59,68,9.1,692,10,2,0
mlieshoff/jcrapi,e93952199ca6b5ef3a6d98fa17ea75b98be65843,1879,7.4,17770,98.73,86.71,150,8.7,17,38,49,1
sylvainlaurent/swagger-validator-maven-plugin,980ad67cf33eb53ba27d44738bb8fe3aac3dba01,64,7.3,3864,67.84,57.20,93,10.3,11,10,94,0
opentimestamps/java-opentimestamps,81863915ea218354e9c84cae0c522b85d1dc9f91,73,15.7,5339,59.87,48.63,336,9.3,52,111,173,2
graphaware/recommendations-meetup,25a7a50c5adc4614f50280c9d1eb2a2dd9e079d5,4,34.9,299,85.94,80.00,87,11.4,28,225,227,1
kabutz/striped-executor-service,e70d183aad5316763b229066f492d186bbe5a9ae,13,17.2,1115,87.39,67.39,12,13.6,14,205,40,2
fleipold/jproc,a7449a6c218492461f1a6fe0957ca186279b9a9d,38,14.5,1189,89.38,85.11,112,11.6,201,138,25,0
audit4j/audit4j-core,4e08cbfcf0bb05141fe0b96ff058562e3cb12a7f,164,19.5,10909,33.94,25.00,292,12.3,133,512,31,0
Azure-Samples/cassandra-proxy,f184bcaa612808ad9348a629330cc6bc94c13105,5,3.2,1837,6.74,3.44,80,5.2,26,2,45,0
